iter	Passed	Remaining
0	0	6
1	0	4
2	0	4
3	0	4
4	0	4
5	0	4
6	0	4
7	0	4
8	0	4
9	0	4
10	0	4
11	0	4
12	0	4
13	0	4
14	0	3
15	0	3
16	0	3
17	1	3
18	1	3
19	1	3
20	1	3
21	1	3
22	1	3
23	1	3
24	1	3
25	1	3
26	1	3
27	1	3
28	1	3
29	1	3
30	1	3
31	1	3
32	1	3
33	1	2
34	2	2
35	2	2
36	2	2
37	2	2
38	2	2
39	2	2
40	2	2
41	2	2
42	2	2
43	2	2
44	2	2
45	2	2
46	2	2
47	2	2
48	2	2
49	2	2
50	2	1
51	3	1
52	3	1
53	3	1
54	3	1
55	3	1
56	3	1
57	3	1
58	3	1
59	3	1
60	3	1
61	3	1
62	3	1
63	3	1
64	3	1
65	3	1
66	3	1
67	3	0
68	3	0
69	3	0
70	3	0
71	4	0
72	4	0
73	4	0
74	4	0
75	4	0
76	4	0
77	4	0
78	4	0
79	4	0
80	4	0
81	4	0
82	4	0
83	4	0
84	4	0
